country,product,category,price_usd,units_sold,profit_usd,exchange_rate_to_usd,gdp_per_capita,population_millions
India,Smartwatch,Accessories,152.19,300,11347,83,2500,1400
India,Tablet,Electronics,120.99,950,29323.01,83,2500,1400
USA,Laptop,Electronics,118.03,288,8438.18,1,70000,331
India,Headphones,Accessories,417.2,464,52578.43,83,2500,1400
Australia,Laptop,Electronics,568.65,490,57036.65,1.5,55000,26
Canada,Phone,Electronics,534.99,928,42043.02,1.35,52000,38
Canada,Phone,Electronics,724.52,203,32003.99,1.35,52000,38
France,Headphones,Accessories,361.05,644,45852.95,0.92,45000,65
UAE,Phone,Electronics,482.04,131,16617.03,3.67,43000,10
UK,Phone,Electronics,150.47,193,5125.57,0.78,48000,67
UK,Tablet,Electronics,129.23,364,10210.8,0.78,48000,67
Australia,Headphones,Accessories,394.48,555,60643.69,1.5,55000,26
Japan,Tablet,Electronics,956.89,595,93904.03,150,40000,125
Australia,Headphones,Accessories,836.81,449,23952.36,1.5,55000,26
Germany,Smartwatch,Accessories,838.44,100,11662.13,0.92,52000,83
Brazil,Tablet,Electronics,845.79,698,138109.67,5.1,9000,213
UAE,Smartwatch,Accessories,967.92,474,61531.95,3.67,43000,10
Australia,Headphones,Accessories,50.57,541,6011.48,1.5,55000,26
France,Laptop,Electronics,216.25,981,50787.05,0.92,45000,65
Japan,Headphones,Accessories,949.47,356,53382.29,150,40000,125
USA,Smartwatch,Accessories,187.5,512,22942.85,1,70000,331
Germany,Phone,Electronics,920.26,469,75254.12,0.92,52000,83
UAE,Smartwatch,Accessories,495.78,100,5995.4,3.67,43000,10
Canada,Tablet,Electronics,445.13,770,79248.14,1.35,52000,38
France,Tablet,Electronics,818.53,680,138509.41,0.92,45000,65
Australia,Smartwatch,Accessories,982.78,562,122057.19,1.5,55000,26
Brazil,Tablet,Electronics,610.44,271,20344.13,5.1,9000,213
Canada,Smartwatch,Accessories,93.53,229,5527.37,1.35,52000,38
Australia,Phone,Electronics,803.34,436,103995.05,1.5,55000,26
Germany,Laptop,Electronics,687.32,764,41106.76,0.92,52000,83
UK,Tablet,Electronics,583.13,154,14558.15,0.78,48000,67
UK,Phone,Electronics,54.09,511,8187.91,0.78,48000,67
Australia,Laptop,Electronics,466.84,735,48135.41,1.5,55000,26
USA,Headphones,Accessories,546.96,818,44426.76,1,70000,331
UAE,Laptop,Electronics,60.6,712,7436.04,3.67,43000,10
France,Smartwatch,Accessories,633.49,57,4060.82,0.92,45000,65
Canada,Headphones,Accessories,934.65,948,229883.11,1.35,52000,38
France,Laptop,Electronics,758.41,762,39974.53,0.92,45000,65
France,Laptop,Electronics,596.87,687,60325.15,0.92,45000,65
France,Tablet,Electronics,594.3,562,18182.81,0.92,45000,65
Australia,Phone,Electronics,422.16,636,64707.8,1.5,55000,26
UAE,Tablet,Electronics,186.58,655,12375.23,3.67,43000,10
Germany,Smartwatch,Accessories,284.82,413,13393.13,0.92,52000,83
Canada,Smartwatch,Accessories,543.85,371,10400.15,1.35,52000,38
Germany,Headphones,Accessories,885.69,86,21533.28,0.92,52000,83
UK,Tablet,Electronics,738.15,953,190399.25,0.78,48000,67
France,Headphones,Accessories,381.27,730,41408.1,0.92,45000,65
France,Headphones,Accessories,667.58,900,164524.21,0.92,45000,65
India,Headphones,Accessories,868.94,895,142314.54,83,2500,1400
UAE,Laptop,Electronics,802.05,753,130653.2,3.67,43000,10
Canada,Laptop,Electronics,139.97,618,17767.18,1.35,52000,38
Brazil,Smartwatch,Accessories,664.65,808,106097.37,5.1,9000,213
Japan,Headphones,Accessories,152.09,693,22357.78,150,40000,125
Australia,Laptop,Electronics,768.49,228,26591.55,1.5,55000,26
UAE,Tablet,Electronics,971.92,646,106462.66,3.67,43000,10
Canada,Phone,Electronics,759.85,899,56780.56,1.35,52000,38
Canada,Headphones,Accessories,242.16,83,2007.5,1.35,52000,38
Brazil,Phone,Electronics,492.82,365,16470.98,5.1,9000,213
India,Phone,Electronics,190.1,634,32313.74,83,2500,1400
France,Tablet,Electronics,411.3,399,35206.64,0.92,45000,65
Germany,Laptop,Electronics,430.16,127,16031.89,0.92,52000,83
UAE,Laptop,Electronics,554.62,838,102176.5,3.67,43000,10
UK,Tablet,Electronics,238.98,942,51899.76,0.78,48000,67
Canada,Smartwatch,Accessories,745.71,455,37080.7,1.35,52000,38
UK,Tablet,Electronics,261.78,300,8625.01,0.78,48000,67
Germany,Smartwatch,Accessories,971.2,160,27102.23,0.92,52000,83
UAE,Headphones,Accessories,348.58,507,35828.99,3.67,43000,10
Japan,Tablet,Electronics,725.82,259,29095.49,150,40000,125
Japan,Tablet,Electronics,384.37,285,32217.86,150,40000,125
Germany,Phone,Electronics,242.68,723,27483.87,0.92,52000,83
USA,Phone,Electronics,184.61,661,15007.92,1,70000,331
Canada,Smartwatch,Accessories,933.82,928,45065.71,1.35,52000,38
UAE,Laptop,Electronics,701.73,821,57101.51,3.67,43000,10
Canada,Tablet,Electronics,532.31,452,71719.88,1.35,52000,38
Germany,Headphones,Accessories,312.44,161,14268.5,0.92,52000,83
USA,Tablet,Electronics,606.4,485,86588.65,1,70000,331
Australia,Laptop,Electronics,665.27,386,71231.8,1.5,55000,26
Japan,Headphones,Accessories,103.06,547,7927.69,150,40000,125
Australia,Tablet,Electronics,625.59,402,51120.32,1.5,55000,26
France,Phone,Electronics,125.63,382,7614.96,0.92,45000,65
India,Smartwatch,Accessories,904.53,677,155206.12,83,2500,1400
Germany,Smartwatch,Accessories,340.58,460,20371.73,0.92,52000,83
Germany,Phone,Electronics,584.54,396,59012.84,0.92,52000,83
USA,Smartwatch,Accessories,619.1,790,41002.36,1,70000,331
India,Tablet,Electronics,686.68,487,76269.79,83,2500,1400
UK,Headphones,Accessories,851.42,526,80292.83,0.78,48000,67
UK,Tablet,Electronics,362.44,644,57605.25,0.78,48000,67
India,Phone,Electronics,681.73,741,146501.5,83,2500,1400
Australia,Headphones,Accessories,51.25,476,2330.12,1.5,55000,26
Australia,Laptop,Electronics,626.45,529,47983.49,1.5,55000,26
Brazil,Smartwatch,Accessories,325.72,287,24126.3,5.1,9000,213
Australia,Tablet,Electronics,567.39,924,144186.36,1.5,55000,26
Canada,Smartwatch,Accessories,934.51,775,137533.45,1.35,52000,38
Brazil,Phone,Electronics,575.43,469,23127.73,5.1,9000,213
UAE,Tablet,Electronics,493.41,582,68050.58,3.67,43000,10
Brazil,Laptop,Electronics,905.68,489,23105.68,5.1,9000,213
USA,Tablet,Electronics,458,520,20410.2,1,70000,331
Australia,Laptop,Electronics,740.65,609,92680.21,1.5,55000,26
Australia,Phone,Electronics,190.39,568,8927.35,1.5,55000,26
USA,Laptop,Electronics,291.08,685,18140.56,1,70000,331
Japan,Smartwatch,Accessories,953.06,794,207429.96,150,40000,125
Australia,Laptop,Electronics,785.51,167,24591.01,1.5,55000,26
Australia,Phone,Electronics,450.62,295,28880.34,1.5,55000,26
UAE,Laptop,Electronics,440.71,348,17446.41,3.67,43000,10
France,Smartwatch,Accessories,173.61,682,15318,0.92,45000,65
Canada,Laptop,Electronics,203.45,604,35627.71,1.35,52000,38
Australia,Smartwatch,Accessories,758.99,1000,53219.12,1.5,55000,26
Brazil,Phone,Electronics,467.69,212,22437.1,5.1,9000,213
USA,Phone,Electronics,298.18,55,3312.88,1,70000,331
Germany,Headphones,Accessories,66.94,269,966.05,0.92,52000,83
Germany,Phone,Electronics,592.73,644,42459.57,0.92,52000,83
France,Phone,Electronics,458.07,122,14326.47,0.92,45000,65
UAE,Headphones,Accessories,464.83,159,16384.75,3.67,43000,10
France,Phone,Electronics,927.06,324,47523.51,0.92,45000,65
UAE,Phone,Electronics,350.65,441,32992.11,3.67,43000,10
USA,Headphones,Accessories,298.65,304,18019.89,1,70000,331
USA,Laptop,Electronics,317.29,201,16921.24,1,70000,331
USA,Smartwatch,Accessories,631.33,351,19432.9,1,70000,331
Japan,Tablet,Electronics,337.61,85,7714.92,150,40000,125
Canada,Laptop,Electronics,112.84,631,4381.83,1.35,52000,38
UAE,Laptop,Electronics,389.14,152,14921.47,3.67,43000,10
Australia,Laptop,Electronics,578.9,275,22641.46,1.5,55000,26
USA,Headphones,Accessories,275.52,710,49078.1,1,70000,331
UK,Smartwatch,Accessories,473.96,484,41293.24,0.78,48000,67
Japan,Tablet,Electronics,841.92,840,119142.07,150,40000,125
Japan,Tablet,Electronics,745.2,640,95625.1,150,40000,125
UK,Laptop,Electronics,143.44,826,30665.27,0.78,48000,67
India,Laptop,Electronics,657.97,326,23594.37,83,2500,1400
India,Phone,Electronics,269.98,781,52309.97,83,2500,1400
Australia,Smartwatch,Accessories,822.8,988,220563.76,1.5,55000,26
France,Tablet,Electronics,154.66,145,4734.78,0.92,45000,65
USA,Tablet,Electronics,407.22,978,85919.21,1,70000,331
India,Laptop,Electronics,209.9,161,9159.53,83,2500,1400
USA,Smartwatch,Accessories,198.71,963,22688.92,1,70000,331
Japan,Headphones,Accessories,682.87,322,56131.94,150,40000,125
Brazil,Smartwatch,Accessories,597.07,495,26811.61,5.1,9000,213
USA,Tablet,Electronics,67.67,779,4980.45,1,70000,331
UAE,Tablet,Electronics,54.04,253,1073.47,3.67,43000,10
UAE,Headphones,Accessories,82.14,339,7148.59,3.67,43000,10
France,Smartwatch,Accessories,278.34,248,7609.64,0.92,45000,65
USA,Laptop,Electronics,962.65,905,165033.48,1,70000,331
India,Headphones,Accessories,985.13,240,21490.15,83,2500,1400
UAE,Phone,Electronics,438.84,355,28138.93,3.67,43000,10
India,Tablet,Electronics,507.92,476,45596.28,83,2500,1400
India,Phone,Electronics,151.2,992,40248.95,83,2500,1400
France,Laptop,Electronics,693.07,493,77557.01,0.92,45000,65
UAE,Tablet,Electronics,578.27,116,13757.82,3.67,43000,10
USA,Smartwatch,Accessories,625.82,526,17802.47,1,70000,331
UK,Smartwatch,Accessories,674.5,89,14166.87,0.78,48000,67
Germany,Tablet,Electronics,730.94,666,137351.2,0.92,52000,83
Germany,Laptop,Electronics,304.84,370,15738.68,0.92,52000,83
Canada,Laptop,Electronics,651.15,301,20918.6,1.35,52000,38
UK,Smartwatch,Accessories,541.66,839,96453.88,0.78,48000,67
Germany,Smartwatch,Accessories,177.63,936,19952.19,0.92,52000,83
UK,Tablet,Electronics,112.87,718,6368.88,0.78,48000,67
Brazil,Tablet,Electronics,665.55,446,32273.93,5.1,9000,213
UAE,Phone,Electronics,659.95,390,46261.09,3.67,43000,10
Canada,Laptop,Electronics,356.28,850,65047.93,1.35,52000,38
Australia,Phone,Electronics,853.86,275,51645.38,1.5,55000,26
USA,Headphones,Accessories,135.05,612,16181.25,1,70000,331
